年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2013年09月26日,9999,33,,
2013年09月27日,9985,33,,
2013年09月30日,9955,33,,
2013年10月01日,9969,33,,
2013年10月02日,9656,33,,
2013年10月03日,9774,33,,
2013年10月04日,9777,34,,
2013年10月07日,9726,34,,
2013年10月08日,9767,37,,
2013年10月09日,9776,37,,
2013年10月10日,9719,37,,
2013年10月11日,9650,37,,
2013年10月15日,9568,37,,
2013年10月16日,9637,37,,
2013年10月17日,9653,41,,
2013年10月18日,9870,42,,
2013年10月21日,9832,42,,
2013年10月22日,9854,43,,
2013年10月23日,10015,44,,
2013年10月24日,9915,44,,
2013年10月25日,9988,45,,
2013年10月28日,10054,46,,
2013年10月29日,10054,46,,
2013年10月30日,10067,47,,
2013年10月31日,10082,48,,
2013年11月01日,9918,48,,
2013年11月05日,9875,48,,
2013年11月06日,9850,48,,
2013年11月07日,9916,49,,
2013年11月08日,9789,49,,
2013年11月11日,9715,49,,
2013年11月12日,9713,49,,
2013年11月13日,9643,49,,
2013年11月14日,9647,49,,
2013年11月15日,9848,50,,
2013年11月18日,9841,50,,
2013年11月19日,9701,50,,
2013年11月20日,9731,50,,
2013年11月21日,9531,50,,
2013年11月22日,9597,52,,
2013年11月25日,9617,54,,
2013年11月26日,9664,57,,
2013年11月27日,9602,57,,
2013年11月28日,9632,58,,
2013年11月29日,9677,59,,
2013年12月02日,9765,59,,
2013年12月03日,9562,59,,
2013年12月04日,9576,61,,
2013年12月05日,9711,62,,
2013年12月06日,9551,62,,
2013年12月09日,9668,64,,
2013年12月10日,9774,65,,
2013年12月11日,9907,67,,
2013年12月12日,9811,66,,
2013年12月13日,9693,66,,
2013年12月16日,9742,66,,
2013年12月17日,9750,66,,
2013年12月18日,9643,67,,
2013年12月19日,9681,67,,
2013年12月20日,9472,66,,
2013年12月24日,9523,67,,
2013年12月25日,9572,68,,
2013年12月26日,9617,69,,
2013年12月27日,9681,69,,
2013年12月30日,9752,70,,
2014年01月06日,9869,71,,
2014年01月07日,9848,71,,
2014年01月08日,9841,70,,
2014年01月09日,9795,73,,
2014年01月10日,9828,74,,
2014年01月14日,9877,74,,
2014年01月15日,9859,74,,
2014年01月16日,9914,80,,
2014年01月17日,9886,79,,
2014年01月20日,9940,80,,
2014年01月21日,9980,81,,
2014年01月22日,9864,80,,
2014年01月23日,9866,81,,
2014年01月24日,9962,82,,
2014年01月27日,9897,82,,
2014年01月28日,9822,81,,
2014年01月29日,9857,82,,
2014年01月30日,9899,83,,
2014年01月31日,9745,82,,
2014年02月03日,9695,81,,
2014年02月04日,9702,82,,
2014年02月05日,9711,82,,
2014年02月06日,9744,81,,
2014年02月07日,9787,82,,
2014年02月10日,9901,83,,
2014年02月12日,10076,84,,
2014年02月13日,10084,85,,
2014年02月14日,10153,85,,
2014年02月17日,10197,86,,
2014年02月18日,10270,86,,
2014年02月19日,10308,86,,
2014年02月20日,10208,91,,
2014年02月21日,10334,92,,
2014年02月24日,10344,92,,
2014年02月25日,10444,93,,
2014年02月26日,10431,93,,
2014年02月27日,10356,93,,
2014年02月28日,10325,92,,
2014年03月03日,10222,96,,
2014年03月04日,10458,99,,
2014年03月05日,10402,98,,
2014年03月06日,10418,99,,
2014年03月07日,10592,100,,
2014年03月10日,10526,100,,
2014年03月11日,10539,101,,
2014年03月12日,10552,101,,
2014年03月13日,10708,103,,
2014年03月14日,10637,104,,
2014年03月17日,10666,105,,
2014年03月18日,10588,103,,
2014年03月19日,10461,102,,
2014年03月20日,10345,102,,
2014年03月24日,10384,102,,
2014年03月25日,10188,98,,
2014年03月26日,10209,99,,
2014年03月27日,10081,98,,
2014年03月28日,10046,98,,
2014年03月31日,10123,102,,
2014年04月01日,10077,102,,
2014年04月02日,10101,104,,
2014年04月03日,10191,105,,
2014年04月04日,10170,105,,
2014年04月07日,10229,106,,
2014年04月08日,10164,104,,
2014年04月09日,10147,103,,
2014年04月10日,10187,104,,
2014年04月11日,10183,104,,
2014年04月14日,10167,104,,
2014年04月15日,10288,105,,
2014年04月16日,10127,104,,
2014年04月17日,10123,104,,
2014年04月18日,10107,104,,
2014年04月21日,10116,104,,
2014年04月22日,10077,104,,
2014年04月23日,10028,104,,
2014年04月24日,10022,104,,
2014年04月25日,10076,105,,
2014年04月28日,10116,96,,
2014年04月30日,10116,96,,
2014年05月01日,10029,96,,
2014年05月02日,10013,96,,
2014年05月07日,10110,97,,
2014年05月08日,9987,97,,
2014年05月09日,9975,97,,
2014年05月12日,10008,97,,
2014年05月13日,10082,98,,
2014年05月14日,10056,99,,
2014年05月15日,10115,99,,
2014年05月16日,10017,98,,
2014年05月19日,9996,98,,
2014年05月20日,9976,98,,
2014年05月21日,9968,99,,
2014年05月22日,9956,99,,
2014年05月23日,10020,100,,
2014年05月26日,10025,105,,
2014年05月27日,10022,108,,
2014年05月28日,9810,106,,
2014年05月29日,9736,107,,
2014年05月30日,9711,108,,
2014年06月02日,9707,109,,
2014年06月03日,9677,108,,
2014年06月04日,9720,107,,
2014年06月05日,9709,108,,
2014年06月06日,9752,109,,
2014年06月09日,9770,110,,
2014年06月10日,9761,110,,
2014年06月11日,9805,112,,
2014年06月12日,9774,112,,
2014年06月13日,9863,113,,
2014年06月16日,9896,115,,
2014年06月17日,9862,115,,
2014年06月18日,9868,119,,
2014年06月19日,9885,120,,
2014年06月20日,10216,124,,
2014年06月23日,10194,124,,
2014年06月24日,10208,124,,
2014年06月25日,10227,125,,
2014年06月26日,10201,126,,
2014年06月27日,10153,125,,
2014年06月30日,10134,124,,
2014年07月01日,10245,126,,
2014年07月02日,10242,126,,
2014年07月03日,10262,126,,
2014年07月04日,10236,126,,
2014年07月07日,10241,126,,
2014年07月08日,10196,125,,
2014年07月09日,10183,125,,
2014年07月10日,10249,125,,
2014年07月11日,10293,125,,
2014年07月14日,10307,126,,
2014年07月15日,10090,123,,
2014年07月16日,10004,123,,
2014年07月17日,10020,124,,
2014年07月18日,10161,126,,
2014年07月22日,10119,126,,
2014年07月23日,10074,127,,
2014年07月24日,10062,128,,
2014年07月25日,10000,128,,
2014年07月28日,10108,130,,
2014年07月29日,10095,130,,
2014年07月30日,10082,131,,
2014年07月31日,10131,132,,
2014年08月01日,10008,130,,
2014年08月04日,10063,131,,
2014年08月05日,10036,131,,
2014年08月06日,10027,132,,
2014年08月07日,10144,133,,
2014年08月08日,10172,134,,
2014年08月11日,10173,134,,
2014年08月12日,10165,134,,
2014年08月13日,10161,134,,
2014年08月14日,10208,135,,
2014年08月15日,10217,135,,
2014年08月18日,10130,132,,
2014年08月19日,10121,132,,
2014年08月20日,10126,132,,
2014年08月21日,10165,132,,
2014年08月22日,10074,131,,
2014年08月25日,10121,131,,
2014年08月26日,10071,130,,
2014年08月27日,10120,131,,
2014年08月28日,10087,130,,
2014年08月29日,10149,131,,
2014年09月01日,10162,132,,
2014年09月02日,10188,132,,
2014年09月03日,10102,131,,
2014年09月04日,10099,131,,
2014年09月05日,10111,134,,
2014年09月08日,10114,134,,
2014年09月09日,10088,134,,
2014年09月10日,10113,148,,
2014年09月11日,10119,149,,
2014年09月12日,10109,149,,
2014年09月16日,10020,148,,
2014年09月17日,10047,133,,
2014年09月18日,10054,133,,
2014年09月19日,10112,134,,
2014年09月22日,10063,134,,
2014年09月24日,10066,135,,
2014年09月25日,10087,137,,
2014年09月26日,10056,137,,
2014年09月29日,10099,138,,
2014年09月30日,10097,139,,
2014年10月01日,10057,138,,
2014年10月02日,10050,147,,
2014年10月03日,10006,147,,
2014年10月06日,9902,146,,
2014年10月07日,9970,147,,
2014年10月08日,9934,147,,
2014年10月09日,10028,149,,
2014年10月10日,9992,148,,
2014年10月14日,10000,148,,
2014年10月15日,10027,149,,
2014年10月16日,9932,148,,
2014年10月17日,9992,139,,
2014年10月20日,10055,140,,
2014年10月21日,10093,141,,
2014年10月22日,10119,142,,
2014年10月23日,10089,142,,
2014年10月24日,10092,136,,
2014年10月27日,10066,136,,
2014年10月28日,10052,136,,
2014年10月29日,10067,136,,
2014年10月30日,10003,136,,
2014年10月31日,9923,134,,
2014年11月04日,10047,136,0.00,1
2014年11月05日,10048,136,,
2014年11月06日,9919,132,,
2014年11月07日,9960,132,,
2014年11月10日,10165,136,,
2014年11月11日,9986,134,,
2014年11月12日,10219,138,,
2014年11月13日,10131,138,,
2014年11月14日,10204,138,,
2014年11月17日,10491,142,,
2014年11月18日,10457,141,,
2014年11月19日,10598,142,,
2014年11月20日,10576,142,,
2014年11月21日,10666,143,,
2014年11月25日,10691,144,,
2014年11月26日,10692,144,,
2014年11月27日,10650,138,,
2014年11月28日,10713,140,,
2014年12月01日,10487,137,,
2014年12月02日,10863,139,,
2014年12月03日,10819,137,,
2014年12月04日,10962,139,,
2014年12月05日,10922,139,,
2014年12月08日,10957,139,,
2014年12月09日,11015,141,,
2014年12月10日,11099,143,,
2014年12月11日,10917,139,,
2014年12月12日,11009,141,,
2014年12月15日,10956,140,,
2014年12月16日,10596,137,,
2014年12月17日,10583,137,,
2014年12月18日,10678,137,,
2014年12月19日,10771,138,,
2014年12月22日,10796,139,,
2014年12月24日,10703,139,,
2014年12月25日,10667,140,,
2014年12月26日,10674,141,,
2014年12月29日,10885,143,,
2014年12月30日,10786,142,,
2015年01月05日,10804,142,,
2015年01月06日,10881,145,,
2015年01月07日,10935,151,,
2015年01月08日,10936,150,,
2015年01月09日,10936,150,,
2015年01月13日,10995,151,,
2015年01月14日,10934,150,,
2015年01月15日,10913,148,,
2015年01月16日,11067,150,,
2015年01月19日,11310,154,,
2015年01月20日,11359,154,,
2015年01月21日,11586,157,,
2015年01月22日,11534,160,,
2015年01月23日,11667,157,,
2015年01月26日,11490,153,,
2015年01月27日,11458,154,,
2015年01月28日,11508,155,,
2015年01月29日,11426,154,,
2015年01月30日,11218,152,,
2015年02月02日,11387,154,,
2015年02月03日,11293,152,,
2015年02月04日,11213,153,,
2015年02月05日,11206,153,,
2015年02月06日,11255,155,,
2015年02月09日,11095,153,,
2015年02月10日,11093,153,,
2015年02月12日,11065,153,,
2015年02月13日,10987,152,,
2015年02月16日,11001,150,,
2015年02月17日,10979,151,,
2015年02月18日,10887,150,,
2015年02月19日,10871,150,,
2015年02月20日,10864,150,,
2015年02月23日,10787,151,,
2015年02月24日,10789,151,,
2015年02月25日,10767,151,,
2015年02月26日,10829,149,,
2015年02月27日,10877,151,,
2015年03月02日,10950,151,,
2015年03月03日,10910,154,,
2015年03月04日,10858,155,,
2015年03月05日,10840,155,,
2015年03月06日,10862,155,,
2015年03月09日,10625,152,,
2015年03月10日,10688,155,,
2015年03月11日,10608,154,,
2015年03月12日,10579,154,,
2015年03月13日,10562,154,,
2015年03月16日,10577,154,,
2015年03月17日,10579,155,,
2015年03月18日,10505,154,,
2015年03月19日,10576,156,,
2015年03月20日,10650,157,,
2015年03月23日,10699,158,,
2015年03月24日,10751,159,,
2015年03月25日,10789,160,,
2015年03月26日,10759,161,,
2015年03月27日,10821,162,,
2015年03月30日,10782,172,,
2015年03月31日,10733,171,,
2015年04月01日,10705,172,,
2015年04月02日,10864,173,,
2015年04月03日,10840,183,,
2015年04月06日,10780,182,,
2015年04月07日,10952,185,,
2015年04月08日,10962,186,,
2015年04月09日,10912,186,,
2015年04月10日,10856,185,,
2015年04月13日,10940,187,,
2015年04月14日,10842,185,,
2015年04月15日,10749,184,,
2015年04月16日,10784,185,,
2015年04月17日,10761,185,,
2015年04月20日,10788,185,,
2015年04月21日,10749,185,,
2015年04月22日,10843,186,,
2015年04月23日,10737,185,,
2015年04月24日,10767,187,,
2015年04月27日,10566,186,,
2015年04月28日,10796,194,,
2015年04月30日,10791,197,,
2015年05月01日,10667,196,,
2015年05月07日,10720,197,,
2015年05月08日,10683,200,,
2015年05月11日,10729,202,,
2015年05月12日,10710,198,,
2015年05月13日,10769,200,,
2015年05月14日,10908,202,,
2015年05月15日,10983,205,,
2015年05月18日,11033,205,,
2015年05月19日,11056,206,,
2015年05月20日,11002,204,,
2015年05月21日,11031,204,,
2015年05月22日,10996,209,,
2015年05月25日,11043,211,,
2015年05月26日,11048,211,,
2015年05月27日,10999,210,,
2015年05月28日,11056,212,,
2015年05月29日,11071,213,,
2015年06月01日,11135,214,,
2015年06月02日,11172,215,,
2015年06月03日,11151,216,,
2015年06月04日,11092,214,,
2015年06月05日,11028,214,,
2015年06月08日,11059,215,,
2015年06月09日,11014,215,,
2015年06月10日,11017,195,,
2015年06月11日,10981,194,,
2015年06月12日,10986,194,,
2015年06月15日,10970,194,,
2015年06月16日,11012,195,,
2015年06月17日,10977,198,,
2015年06月18日,11019,199,,
2015年06月19日,11124,202,,
2015年06月22日,11079,201,,
2015年06月23日,11002,199,,
2015年06月24日,10983,199,,
2015年06月25日,10945,222,,
2015年06月26日,10894,222,,
2015年06月29日,10863,225,,
2015年06月30日,10856,225,,
2015年07月01日,10822,225,,
2015年07月02日,10851,226,,
2015年07月03日,10791,226,,
2015年07月06日,10746,225,,
2015年07月07日,10795,226,,
2015年07月08日,10650,223,,
2015年07月09日,10544,220,,
2015年07月10日,10636,223,,
2015年07月13日,10717,225,,
2015年07月14日,10782,228,,
2015年07月15日,10728,227,,
2015年07月16日,10702,227,,
2015年07月17日,10697,228,,
2015年07月21日,10316,220,,
2015年07月22日,10240,218,,
2015年07月23日,10208,220,,
2015年07月24日,10164,218,,
2015年07月27日,10230,221,,
2015年07月28日,10150,220,,
2015年07月29日,10180,221,,
2015年07月30日,10242,223,,
2015年07月31日,10156,227,,
2015年08月03日,10222,228,,
2015年08月04日,10136,227,,
2015年08月05日,10186,229,,
2015年08月06日,10187,234,,
2015年08月07日,10220,235,,
2015年08月10日,10232,234,,
2015年08月11日,10344,236,,
2015年08月12日,10442,254,,
2015年08月13日,10506,261,,
2015年08月14日,10433,260,,
2015年08月17日,10439,261,,
2015年08月18日,10451,261,,
2015年08月19日,10454,262,,
2015年08月20日,10542,264,,
2015年08月21日,10703,269,,
2015年08月24日,10608,253,,
2015年08月25日,10309,246,,
2015年08月26日,10216,248,,
2015年08月27日,10162,247,,
2015年08月28日,10234,250,,
2015年08月31日,10329,252,,
2015年09月01日,10343,252,,
2015年09月02日,10317,252,,
2015年09月03日,10282,252,,
2015年09月04日,10161,250,,
2015年09月07日,10044,248,,
2015年09月08日,10073,248,,
2015年09月09日,10149,250,,
2015年09月10日,10021,251,,
2015年09月11日,10087,253,,
2015年09月14日,10064,252,,
2015年09月15日,10074,252,,
2015年09月16日,10001,251,,
2015年09月17日,10152,255,,
2015年09月18日,10207,257,,
2015年09月24日,10211,257,,
2015年09月25日,10426,263,,
2015年09月28日,10383,263,,
2015年09月29日,10201,259,,
2015年09月30日,10179,257,,
2015年10月01日,10056,254,,
2015年10月02日,10042,253,,
2015年10月05日,10275,260,,
2015年10月06日,10276,260,,
2015年10月07日,10374,263,,
2015年10月08日,10332,262,,
2015年10月09日,10282,262,,
2015年10月13日,10480,268,,
2015年10月14日,10492,267,,
2015年10月15日,10625,271,,
2015年10月16日,10579,270,,
2015年10月19日,10533,338,,
2015年10月20日,10497,337,,
2015年10月21日,10611,341,,
2015年10月22日,10506,338,,
2015年10月23日,10601,341,,
2015年10月26日,10597,341,,
2015年10月27日,10555,340,,
2015年10月28日,10548,341,,
2015年10月29日,10496,342,,
2015年10月30日,10400,338,,
2015年11月02日,10334,336,0.00,2
2015年11月04日,10156,331,,
2015年11月05日,10098,329,,
2015年11月06日,10088,329,,
2015年11月09日,10079,339,,
2015年11月10日,10098,343,,
2015年11月11日,10057,350,,
2015年11月12日,10024,353,,
2015年11月13日,9992,352,,
2015年11月16日,9970,352,,
2015年11月17日,10034,357,,
2015年11月18日,9923,355,,
2015年11月19日,9929,363,,
2015年11月20日,10004,369,,
2015年11月24日,9865,365,,
2015年11月25日,9905,370,,
2015年11月26日,9864,370,,
2015年11月27日,9873,370,,
2015年11月30日,9775,367,,
2015年12月01日,9855,358,,
2015年12月02日,9865,357,,
2015年12月03日,9747,359,,
2015年12月04日,9804,362,,
2015年12月07日,10073,308,,
2015年12月08日,9933,305,,
2015年12月09日,9926,302,,
2015年12月10日,9792,299,,
2015年12月11日,9825,295,,
2015年12月14日,9772,293,,
2015年12月15日,9689,294,,
2015年12月16日,9708,296,,
2015年12月17日,9887,303,,
2015年12月18日,9684,300,,
2015年12月21日,9717,301,,
2015年12月22日,9814,304,,
2015年12月24日,9720,303,,
2015年12月25日,9720,304,,
2015年12月28日,9749,302,,
2015年12月29日,9679,300,,
2015年12月30日,9673,302,,
2016年01月04日,9591,306,,
2016年01月05日,9638,313,,
2016年01月06日,9638,314,,
2016年01月07日,9764,318,,
2016年01月08日,9836,321,,
2016年01月12日,9695,318,,
2016年01月13日,9659,320,,
2016年01月14日,9677,326,,
2016年01月15日,9564,325,,
2016年01月18日,9583,326,,
2016年01月19日,9628,329,,
2016年01月20日,9614,329,,
2016年01月21日,9722,333,,
2016年01月22日,9766,335,,
2016年01月25日,9781,336,,
2016年01月26日,9850,339,,
2016年01月27日,9967,345,,
2016年01月28日,10028,347,,
2016年01月29日,10111,350,,
2016年02月01日,10163,352,,
2016年02月02日,10261,356,,
2016年02月03日,10162,355,,
2016年02月04日,10109,358,,
2016年02月05日,10167,363,,
2016年02月08日,10316,370,,
2016年02月09日,10321,368,,
2016年02月10日,10232,374,,
2016年02月12日,10519,383,,
2016年02月15日,10523,381,,
2016年02月16日,10644,387,,
2016年02月17日,10287,374,,
2016年02月18日,10320,412,,
2016年02月19日,10499,451,,
2016年02月22日,10409,445,,
2016年02月23日,10210,408,,
2016年02月24日,10310,409,,
2016年02月25日,10347,417,,
2016年02月26日,10474,423,,
2016年02月29日,10432,467,,
2016年03月01日,10486,470,,
2016年03月02日,10524,475,,
2016年03月03日,10576,478,,
2016年03月04日,10746,484,,
2016年03月07日,10753,479,,
2016年03月08日,10742,483,,
2016年03月09日,10639,435,,
2016年03月10日,10637,436,,
2016年03月11日,10800,444,,
2016年03月14日,10671,435,,
2016年03月15日,10523,485,,
2016年03月16日,10486,450,,
2016年03月17日,10659,461,,
2016年03月18日,10477,450,,
2016年03月22日,10444,448,,
2016年03月23日,10504,452,,
2016年03月24日,10273,442,,
2016年03月25日,10345,446,,
2016年03月28日,10356,444,,
2016年03月29日,10365,444,,
2016年03月30日,10484,450,,
2016年03月31日,10356,445,,
2016年04月01日,10369,446,,
2016年04月04日,10229,440,,
2016年04月05日,10109,435,,
2016年04月06日,10191,439,,
2016年04月07日,10059,434,,
2016年04月08日,10133,436,,
2016年04月11日,10048,433,,
2016年04月12日,10179,440,,
2016年04月13日,10239,448,,
2016年04月14日,10199,447,,
2016年04月15日,10088,443,,
2016年04月18日,9998,449,,
2016年04月19日,10065,451,,
2016年04月20日,10228,459,,
2016年04月21日,10226,460,,
2016年04月22日,10240,460,,
2016年04月25日,10303,463,,
2016年04月26日,10280,462,,
2016年04月27日,10361,455,,
2016年04月28日,10245,451,,
2016年05月02日,10313,454,,
2016年05月06日,10290,452,,
2016年05月09日,10378,458,,
2016年05月10日,10250,455,,
2016年05月11日,10355,460,,
2016年05月12日,10373,463,,
2016年05月13日,10344,463,,
2016年05月16日,10375,461,,
2016年05月17日,10403,465,,
2016年05月18日,10428,468,,
2016年05月19日,10357,466,,
2016年05月20日,10333,464,,
2016年05月23日,10283,432,,
2016年05月24日,10224,428,,
2016年05月25日,10127,422,,
2016年05月26日,10045,421,,
2016年05月27日,10025,422,,
2016年05月30日,10041,424,,
2016年05月31日,10060,425,,
2016年06月01日,10066,426,,
2016年06月02日,9926,421,,
2016年06月03日,9862,417,,
2016年06月06日,9912,421,,
2016年06月07日,10003,426,,
2016年06月08日,9971,424,,
2016年06月09日,10089,429,,
2016年06月10日,10181,434,,
2016年06月13日,10162,434,,
2016年06月14日,10198,449,,
2016年06月15日,10208,457,,
2016年06月16日,10239,464,,
2016年06月17日,10048,461,,
2016年06月20日,10168,472,,
2016年06月21日,10033,468,,
2016年06月22日,9913,463,,
2016年06月23日,9924,449,,
2016年06月24日,9487,431,,
2016年06月27日,10085,459,,
2016年06月28日,10093,468,,
2016年06月29日,10063,464,,
2016年06月30日,10139,469,,
2016年07月01日,10193,474,,
2016年07月04日,10316,482,,
2016年07月05日,10299,479,,
2016年07月06日,10256,477,,
2016年07月07日,10306,479,,
2016年07月08日,10265,483,,
2016年07月11日,10303,491,,
2016年07月12日,10402,494,,
2016年07月13日,10425,496,,
2016年07月14日,10464,490,,
2016年07月15日,10526,485,,
2016年07月19日,10540,476,,
2016年07月20日,10553,471,,
2016年07月21日,10529,471,,
2016年07月22日,10529,471,,
2016年07月25日,10525,468,,
2016年07月26日,10315,458,,
2016年07月27日,10365,460,,
2016年07月28日,10492,460,,
2016年07月29日,10425,458,,
2016年08月01日,10333,454,,
2016年08月02日,10350,454,,
2016年08月03日,10313,463,,
2016年08月04日,10277,467,,
2016年08月05日,10294,466,,
2016年08月08日,10202,462,,
2016年08月09日,10222,463,,
2016年08月10日,10184,463,,
2016年08月12日,10218,466,,
2016年08月15日,10115,463,,
2016年08月16日,10120,463,,
2016年08月17日,10129,468,,
2016年08月18日,10039,465,,
2016年08月19日,10151,469,,
2016年08月22日,10085,467,,
2016年08月23日,10023,465,,
2016年08月24日,10038,468,,
2016年08月25日,9950,463,,
2016年08月26日,9934,466,,
2016年08月29日,10048,473,,
2016年08月30日,10081,475,,
2016年08月31日,10106,475,,
2016年09月01日,10074,474,,
2016年09月02日,10126,477,,
2016年09月05日,10289,485,,
2016年09月06日,10257,486,,
2016年09月07日,10217,485,,
2016年09月08日,10205,485,,
2016年09月09日,10206,487,,
2016年09月12日,10186,487,,
2016年09月13日,10060,481,,
2016年09月14日,10120,484,,
2016年09月15日,10119,484,,
2016年09月16日,10015,481,,
2016年09月20日,9994,480,,
